CustomerID,monetary,frequency,recency,cluster_labels,segmen
4090,1735.0,17,2,0,Pelanggan Potensial
4091,1533.0,13,43,3,Pelanggan Baru
4092,1784.0,14,25,3,Pelanggan Baru
4093,1705.0,17,7,0,Pelanggan Potensial
4094,1667.0,15,43,3,Pelanggan Baru
4095,1505.0,16,17,3,Pelanggan Baru
4096,827.0,8,51,2,Pelanggan yang Membutuhkan Perhatian
4097,3926.0,8,116,2,Pelanggan yang Membutuhkan Perhatian
4098,1306.0,15,10,3,Pelanggan Baru
4099,6002.0,16,15,1,Pelanggan Loyal
4100,1660.0,14,8,3,Pelanggan Baru
4101,856.0,7,9,3,Pelanggan Baru
4102,3890.0,18,24,1,Pelanggan Loyal
4103,1910.0,19,11,0,Pelanggan Potensial
4104,1845.0,15,1,3,Pelanggan Baru
4105,1498.0,18,64,2,Pelanggan yang Membutuhkan Perhatian
4106,1777.0,16,24,3,Pelanggan Baru
4107,2013.0,17,66,2,Pelanggan yang Membutuhkan Perhatian
4108,6828.0,18,0,1,Pelanggan Loyal
4109,5669.0,9,1,1,Pelanggan Loyal
4110,4381.0,20,0,1,Pelanggan Loyal
4111,2341.0,22,16,0,Pelanggan Potensial
4112,616.0,5,84,2,Pelanggan yang Membutuhkan Perhatian
4113,1909.0,16,16,0,Pelanggan Potensial
4114,1259.0,14,30,3,Pelanggan Baru
4115,4364.0,18,11,1,Pelanggan Loyal
4116,1788.0,16,13,0,Pelanggan Potensial
4117,1968.0,19,18,0,Pelanggan Potensial
4118,1659.0,17,17,0,Pelanggan Potensial
4119,1357.0,13,17,3,Pelanggan Baru
4120,1774.0,16,1,0,Pelanggan Potensial
4121,1617.0,13,63,2,Pelanggan yang Membutuhkan Perhatian
4122,2530.0,24,2,0,Pelanggan Potensial
